;DateTime,Flow CMS/m
08/09/2016 06:27:05,0
08/09/2016 06:42:05,0
08/09/2016 06:57:05,0
08/09/2016 07:12:05,0
08/09/2016 07:27:05,0
08/09/2016 07:42:05,0
08/09/2016 07:57:05,0
08/09/2016 08:12:05,0
08/09/2016 08:27:05,0
08/09/2016 08:42:05,0
08/09/2016 08:57:05,0
08/09/2016 09:12:05,0
08/09/2016 09:27:05,0
08/09/2016 09:42:05,0
08/09/2016 09:57:05,0
08/09/2016 10:12:05,0
08/09/2016 10:27:05,0
08/09/2016 10:42:05,0
08/09/2016 10:57:05,0
08/09/2016 11:12:05,0
08/09/2016 11:27:05,0
08/09/2016 11:42:05,0
08/09/2016 11:57:05,0
08/09/2016 12:12:05,0
08/09/2016 12:27:05,0
08/09/2016 12:42:05,0
08/09/2016 12:57:05,0
08/09/2016 13:12:05,0
08/09/2016 13:27:05,0
08/09/2016 13:42:05,0
08/09/2016 13:57:05,0
08/09/2016 14:12:05,0
08/09/2016 14:27:05,0
08/09/2016 14:42:05,0
08/09/2016 14:57:05,-2.6078400583918e-05
08/09/2016 15:12:05,-0.00018215144244905
08/09/2016 15:27:05,-0.000320071875322874
08/09/2016 15:42:05,-0.000412892898934243
08/09/2016 15:57:05,-0.000471692444094702
08/09/2016 16:12:05,-0.000510915626024926
08/09/2016 16:27:05,-0.000530609039746521
08/09/2016 16:42:05,-0.000529026000958642
08/09/2016 16:57:05,-0.000503079196628153
08/09/2016 17:12:05,-0.000480467281103673
08/09/2016 17:27:05,-0.000456185563358327
08/09/2016 17:42:05,-0.000424516753665689
08/09/2016 17:57:05,-0.000395295341623286
08/09/2016 18:12:05,-0.000361836397715694
08/09/2016 18:27:05,-0.00032517217888563
08/09/2016 18:42:05,-0.000302369071633079
08/09/2016 18:57:05,-0.000286041292362477
08/09/2016 19:12:05,-0.000244649799958064
08/09/2016 19:27:05,-0.000210721925225058
08/09/2016 19:42:05,-0.000184807500724058
08/09/2016 19:57:05,-0.000166822207256892
08/09/2016 20:12:05,-0.000149474739965854
08/09/2016 20:27:05,-0.000117302115945059
08/09/2016 20:42:05,-0.000101507698633138
