;Date	Time	CMS/Length
8/8/2016	13:30	-9.90065E-05
8/8/2016	13:45	-9.53868E-05
8/8/2016	14:00	-0.000108832
8/8/2016	14:15	-0.000106605
8/8/2016	14:30	-0.000109988
8/8/2016	14:45	-0.000108039
8/8/2016	15:00	-0.000121287
8/8/2016	15:15	-0.000119616
8/8/2016	15:30	-0.000121997
8/8/2016	15:45	-0.00012685
8/8/2016	16:00	-0.000129999
8/8/2016	16:15	-0.000129999
8/8/2016	16:30	-0.000133106
8/8/2016	16:45	-0.000137843
8/8/2016	17:00	-0.000140866
8/8/2016	17:15	-0.000144692
8/8/2016	17:30	-0.000144692
8/8/2016	17:45	-0.000144692
8/8/2016	18:00	-0.000144692
8/8/2016	18:15	-0.000144692
8/8/2016	18:30	-0.000140866
8/8/2016	18:45	-0.000133106
8/8/2016	19:00	-0.00011106
8/8/2016	19:15	-8.20219E-05
8/8/2016	19:30	-4.33473E-05
8/8/2016	19:45	4.17601E-06
8/8/2016	20:00	5.49292E-05
8/8/2016	20:15	0.000100693
8/8/2016	20:30	0.000139064
8/8/2016	20:45	0.000169385
8/8/2016	21:00	0.000192509
8/8/2016	21:15	0.000203541
8/8/2016	21:30	0.000199398
8/8/2016	21:45	0.000177059
8/8/2016	22:00	0.000100512
8/8/2016	22:15	-4.92195E-05
8/8/2016	22:30	-0.000277586
8/8/2016	22:45	-0.000566819
8/8/2016	23:00	-0.000876901
8/8/2016	23:15	-0.001160905
8/8/2016	23:30	-0.001381854
8/8/2016	23:45	-0.001565621
8/9/2016	0:00	-0.001704839
8/9/2016	0:15	-0.001815227
8/9/2016	0:30	-0.001862561
8/9/2016	0:45	-0.001790168
8/9/2016	1:00	-0.001619304
8/9/2016	1:15	-0.001392719
8/9/2016	1:30	-0.001166092
8/9/2016	1:45	-0.000964491
8/9/2016	2:00	-0.00077677
8/9/2016	2:15	-0.00063635
8/9/2016	2:30	-0.000515387
8/9/2016	2:45	-0.000414908
8/9/2016	3:00	-0.000338603
8/9/2016	3:15	-0.000284965
8/9/2016	3:30	-0.000234011
8/9/2016	3:45	-0.000200713
8/9/2016	4:00	-0.000180173
8/9/2016	4:15	-0.000166257
8/9/2016	4:30	-0.000157311
8/9/2016	4:45	-0.000145616
8/9/2016	5:00	-0.000147471
8/9/2016	5:15	-0.000150397
8/9/2016	5:30	-0.000156336
8/9/2016	5:45	-0.000165558
8/9/2016	6:00	-0.000168899
8/9/2016	6:15	-0.00018337
8/9/2016	6:30	-0.000213273
8/9/2016	6:45	-0.000240401
8/9/2016	7:00	-0.000272769
8/9/2016	7:15	-0.000314253
8/9/2016	7:30	-0.000344531
8/9/2016	7:45	-0.000356659
8/9/2016	8:00	-0.000352374
8/9/2016	8:15	-0.000322595
8/9/2016	8:30	-0.000282665
8/9/2016	8:45	-0.000240215
8/9/2016	9:00	-0.00021253
